id,name,gender,year,place,url,image
2260,"Förg, Günther",Male,1952,"Schwaben, Deutschland",http://www.tate.org.uk/art/artists/gunther-forg-2260,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
1780,"Plowman, Chris",Male,1952,"Fareham, United Kingdom",http://www.tate.org.uk/art/artists/chris-plowman-1780,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
2783,"Reeb, David",Male,1952,"Rehovot, Yisra'el",http://www.tate.org.uk/art/artists/david-reeb-2783,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
2239,"Whiteford, Kate",Female,1952,"Glasgow, United Kingdom",http://www.tate.org.uk/art/artists/kate-whiteford-2239,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
6726,"Sultan, Donald",Male,1951,"Asheville, United States",http://www.tate.org.uk/art/artists/donald-sultan-6726,http://www.tate.org.uk/art/images/work/P/P12/P12378_7.jpg
1481,"Le Brun, Christopher",Male,1951,"Portsmouth, United Kingdom",http://www.tate.org.uk/art/artists/christopher-le-brun-pra-1481,http://www.tate.org.uk/art/images/work/T/T03/T03454_7.jpg
643,"Allington, Edward",Male,1951,"Cumbria, United Kingdom",http://www.tate.org.uk/art/artists/edward-allington-643,http://www.tate.org.uk/art/images/work/T/T05/T05214_7.jpg
2333,"Viola, Bill",Male,1951,"New York, United States",http://www.tate.org.uk/art/artists/bill-viola-2333,http://www.tate.org.uk/art/images/work/T/T06/T06854_7.jpg
2371,"Bevan, Tony",Male,1951,"Bradford, United Kingdom",http://www.tate.org.uk/art/artists/tony-bevan-2371,http://www.tate.org.uk/art/images/work/T/T07/T07002_7.jpg
2384,"Vermeiren, Didier",Male,1951,"Bruxelles, België",http://www.tate.org.uk/art/artists/didier-vermeiren-2384,http://www.tate.org.uk/art/images/work/T/T07/T07055_7.jpg
2376,"Hill, Gary",Male,1951,"Santa Monica, United States",http://www.tate.org.uk/art/artists/gary-hill-2376,http://www.tate.org.uk/art/images/work/T/T07/T07059_7.jpg
13198,"Feiler, Jo",Female,1951,United States,http://www.tate.org.uk/art/artists/jo-allison-feiler-13198,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
